Station,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation,,,
Gurgaon ki awaz,1,Less than 25,5-10000,E,G,8-12 HRS,X,No,Liked the handeset,Receving calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,2,40-60,5-10000,E,E,8-12 HRS,X,X,Yes,X,No,Yes,Yes,A,Reasonable,Voice Quality,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,3,Less than 25,,F,H,others,X,X,X,X,Yes,X,Yes,B,D,No,B,C,Yes,Internet is good,Internet,X,X,X,X,x,x,x,x,A,B,X,,,,,,,,,,,,,
Gurgaon ki awaz,4,Less than 25,0-5000,A,B,8-12 HRS,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,5,40-60,5-10000,E,L,8-12hrs,X,X,Yes,X,NO,YES,H,NO,A,Brand,Battery back up & brand,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,6,Less than 25,0-5000,E,G,4-8 Hrs,X,Yes,X,NO,YES,A,Liked the handset,Dual SIM, Brand,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,7,25-40,5-10000,C,L,8-12hRS,X,Yes,X,YES,B,D,YES,YES,A,Company Handest,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,8,25-40,,E,I,others,X,X,X,Yes,X,No,Yes,A,Only voice calls,Sound quality,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,9,25-40,5-10000,A,G,4-8 Hrs,X,Yes,X,NO,Yes,F,Yes,A,G,Reasonable, MUSIC PLAYER,Music Player,X,X,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,10,25-40,,C,I,8-12HRS,X,X,Yes,X,No,Yes,A,D,Needs only for voice calls & cheap,Radio,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
